title,price,location,url,posted_date
Microsoft Surface Laptop,$100,Portland,https://portland.craigslist.org/mlt/sys/d/portland-microsoft-surface-laptop/7849252542.html,
"Alienware 15 15.6'' i7-4710HQ, 16GB, GTX 980M, SSD Win10 Gaming Laptop",$300,vancouver/ridgefield,https://portland.craigslist.org/clk/sys/d/ridgefield-alienware-i7-4710hq-16gb-gtx/7857018275.html,
"17in HP LAPTOP 17-e0200us with windows 11 Pro, Office 2007Professional",$150,Kalama,https://portland.craigslist.org/clk/sys/d/carrolls-17in-hp-laptop-17-e0200us-with/7833822090.html,
DELL INSPIRION LAPTOP,$325,washington county,https://portland.craigslist.org/wsc/sys/d/portland-dell-inspirion-laptop/7851403814.html,
Lenovo Ideapad Pro 5i Laptop,$540,University Park,https://portland.craigslist.org/mlt/sys/d/portland-lenovo-ideapad-pro-5i-laptop/7850986428.html,
***LAPTOP CASE***,$15,Beaverton,https://portland.craigslist.org/wsc/sys/d/portland-laptop-case/7855745107.html,
Hewlett-Packard pavilion 360 touch screen two-in-1 laptop and tablet,$300,Portland,https://portland.craigslist.org/mlt/sys/d/portland-hewlett-packard-pavilion-360/7856678690.html,
Dell Inspiron 15.6 Touch Laptop Ryzen 7 7730U 16GB 512GB i3535-A813BLK,$300,Beaverton,https://portland.craigslist.org/wsc/sys/d/beaverton-dell-inspiron-156-touch/7851033804.html,
"Gaming Laptop HP Victus 15.6"" 144Hz FHD Display",$375,portland,https://portland.craigslist.org/mlt/sys/d/portland-gaming-laptop-hp-victus-hz-fhd/7856591081.html,
Dell Inspiron 15-7579 2in1 Laptop / Tablet,$150,Se Portland,https://portland.craigslist.org/mlt/sys/d/portland-dell-inspiron-in1-laptop-tablet/7856542464.html,
Nice Dell I-7 TouchScreen Laptop 16GB RAM/SSD +Webcam,$250,"Vancouver,WA",https://portland.craigslist.org/mlt/sys/d/vancouver-nice-dell-7-touchscreen/7856519534.html,
Lots of laptop travel cases all for $50,$50,Tigard,https://portland.craigslist.org/wsc/sys/d/portland-lots-of-laptop-travel-cases/7847208874.html,
Acer Laptop w/Touch Screen,$75,Vancouver,https://portland.craigslist.org/mlt/sys/d/vancouver-acer-laptop-touch-screen/7854917436.html,
Lenovo Touchscreen Laptop,$200,clark/cowlitz WA,https://portland.craigslist.org/clk/sys/d/fairview-lenovo-touchscreen-laptop/7851266112.html,
toshiba l555d laptop,$125,tigard,https://portland.craigslist.org/wsc/sys/d/portland-toshiba-l555d-laptop/7833653043.html,
"HP 14"" Laptop, 16GB RAM, 1 TB PCle SSD,Iris Xe Graphics, WIFI, Bluetoo",$475,Portland,https://portland.craigslist.org/mlt/sys/d/portland-hp-14-laptop-16gb-ram-tb-pcle/7856205480.html,
Asus gaming laptop,$1,Tigard,https://portland.craigslist.org/mlt/sys/d/portland-asus-gaming-laptop/7851934564.html,
"MSI Stealth GS77 32GB 17.3"" 4K Nvidia 3080 Ti 16GB-GDDR6 gaming laptop","$1,500",Beaverton,https://portland.craigslist.org/wsc/sys/d/beaverton-msi-stealth-gs77-32gb-173-4k/7853697344.html,
"Acer Swift-5 Ultra-Thin Laptop 14""/Win11/i7/1TB/16GB + MS Office 2019",$400,Portland,https://portland.craigslist.org/wsc/sys/d/portland-acer-swift-ultra-thin-laptop/7843885968.html,
Toshiba I7 Laptop SSD WIN11 HOME + Wi-Fi +Full Office Package,$130,"Vancouver,WA",https://portland.craigslist.org/mlt/sys/d/vancouver-toshiba-i7-laptop-ssd-win11/7855809153.html,
Acer Aspire 5 Laptop,$250,WOODBURN,https://portland.craigslist.org/clc/sys/d/woodburn-acer-aspire-laptop/7855662250.html,
Laptop bags,$10,Portland,https://portland.craigslist.org/wsc/sys/d/portland-laptop-bags/7836301551.html,
HP 17” touchscreen laptop new in box $600 OBO,$600,Clackamas,https://portland.craigslist.org/clc/sys/d/clackamas-hp-17-touchscreen-laptop-new/7855370170.html,
Targus 11.6 Laptop Bag,$20,Beaverton,https://portland.craigslist.org/wsc/sys/d/beaverton-targus-116-laptop-bag/7829470233.html,
Dell Laptop 2020 Precision 7540 w/ Bag,$550,Centennial,https://portland.craigslist.org/mlt/sys/d/portland-dell-laptop-2020-precision/7854932344.html,
Acer Chromebook Enterprise ZTE CB515 Laptop,$250,Wilsonville,https://portland.craigslist.org/wsc/sys/d/wilsonville-acer-chromebook-enterprise/7854731863.html,
"HP Spectre X360 Touch 14t-eu000 Laptop 14.0"" 2880x1800 OLED 32GB 2TB",$825,West Linn,https://portland.craigslist.org/clc/sys/d/west-linn-hp-spectre-x360-touch-14t/7847171219.html,
"Alienware 17R5 Gaming Laptop, eGPU & Cooling Fans",$700,Hawthorne,https://portland.craigslist.org/mlt/sys/d/portland-alienware-17r5-gaming-laptop/7853367925.html,
